A,B,C,D,E,F,G
1904-10-17,20669,78255,orxsejgr,-196098.95,vdswd,qpc
2095-11-17,96242,42446,fjryhacx,39511.74,poh,hrfi
1933-11-16,61442,87936,wki,-278701.63,ifp,qwlku
2002-10-23,54380,75952,jlcwzjhc,-57906.79,snrtyx,axbsopil
1934-10-16,58499,84497,statz,-115973.24,puw,crcbnd
1908-10-17,47177,31025,dlhu,-70323.21,gpkoe,qmlu
1947-11-29,35392,8862,jhkvzaf,-37093.49,ywwdbpl,gcp
1999-11-27,35301,79976,qvrodhdx,12573.73,phmhvtfs,krppo
2010-10-19,17263,95366,kjssy,158655.88,oporkxri,koslkamb
2004-11-12,96582,20049,xbjial,235608.96,var,mvpad
1906-11-25,23135,15844,qhvonfei,202005.25,ndvsdrc,unw
1918-10-11,90078,93670,flcph,-41567.08,fqnoeex,bokl
1938-11-28,52327,50781,lzwydrd,29164.17,qvgmzuu,ngx
2089-10-30,95918,19367,ebdzu,-89682.03,vpvaov,diyat
1967-10-20,80535,77379,ehihwyqz,-12360.28,fba,ofzx
2057-11-24,64151,98246,sqf,119202.40,mqrxxcs,vidqqdgh
1937-11-13,5555,53664,kovo,14324.29,dew,fnfdw
2064-10-14,48174,59812,pbojouo,-276426.33,ooxgn,jwvsyrle
1911-11-30,11424,84131,euovbz,-58479.46,flssul,aexv
1920-10-29,83772,24900,suwhygmx,-101654.91,gueucl,vwucev
1966-10-22,32570,71658,qbcik,-112614.86,wut,ixaky
2012-10-18,96425,33522,gubx,91039.41,xymyryw,djzw
2031-11-13,17082,7932,pbupltf,56448.34,tszf,ruxqrksg
1902-11-22,5452,70818,eowg,-58543.41,ilutxc,cssslu
2001-10-14,75825,75327,ekphmku,-240098.79,euvxculw,jtbudf
1991-10-12,92935,6737,vord,332265.48,kuf,wqj
2009-11-26,30504,66229,cmdqgs,-191431.58,fzv,jqgc
1981-11-24,79792,36539,oejd,-51369.14,jtsshj,ycnojrhw
1930-11-24,82377,34085,sovcipy,27127.34,rhiaxr,tyoudd
1904-11-20,61448,59066,szh,-314764.38,kytwcuwo,nuqrh
1908-11-13,38673,92332,iafw,-150878.54,ezblbgo,ykqddoz
2052-11-15,60377,78858,qqk,116205.59,foisgosu,kbxbvtff
1960-10-15,858,82048,ccoru,-59061.40,bpai,czilwwzl
2030-10-22,38182,7555,gdwjmp,-21931.22,nix,igqbodn
2088-11-10,31925,2232,nuyuoww,150784.56,bardpnb,oytfbpmu
1915-11-15,62387,37434,hfppt,270035.81,voy,xysdkgfq
1917-10-19,25732,42578,tbrfoyzy,51313.67,tvyy,uwpjiog
2028-11-27,97569,11093,usagcb,153460.89,xvaw,kqitmpdx
2007-11-18,47846,83463,vnmyyj,93725.07,bybnvcy,nkdr
2057-11-11,92727,8107,fvegob,64868.33,ovrvzp,klhduyi
1911-10-29,35827,71915,eeyzjhsw,306575.88,otkdymd,biyg
2085-10-17,6167,98380,yuzc,-269566.99,idlba,jumha
1995-11-17,41105,69366,lmfjipar,-269678.64,ugkcfd,fpwlcnx
2018-10-13,48197,31370,wofrr,-266748.32,nuzce,ociyrwu
2048-10-22,6728,11873,aiwptjpg,117790.25,ghgrg,vdqgqrrc
2097-11-14,10577,90239,epum,-157920.66,igvt,wyuuof
1970-10-13,34142,40667,gupzm,290141.74,buoaj,pfr
2048-10-25,67734,17803,diewox,-33735.78,pxq,yhhug
2025-10-23,92834,59776,ocnmrqap,-175288.71,fhndqaa,oqt
1960-11-15,30324,13328,vgaxksc,-91144.78,jkyxc,fsffnz
1911-11-20,78028,6714,rdy,4333.76,istkqa,nfqg
2052-11-23,1556,1229,fgruq,267269.67,lwdohqvx,ywdfkx
1950-11-12,48947,7985,hrcykezw,101538.04,shkxpu,nkvuk
1932-10-23,9931,61147,iqbotqa,67267.65,jkz,psvzinsy
1955-10-12,2576,51702,sweqrhih,-137693.12,vpvrg,xihpwl
1952-11-18,37237,45420,uybsprq,221499.27,fydtngx,jtd
2092-10-26,81138,26005,wnra,-1099.84,ojbmxo,dsc
1986-10-18,83608,92059,ikahxx,-10335.71,dtsp,rmmxeaj
2032-11-25,32339,89018,kvjf,-301589.23,oaf,sfdni
2040-11-18,65367,43965,syequ,-22849.75,jch,hqkb
1982-10-21,32537,85666,xxcwo,-344767.34,wcygbyq,xstitj
1909-11-14,3016,25359,sefjub,248285.83,cgj,nmlk
2006-11-19,31948,90335,tjypsotp,179225.03,icc,llaj
1935-10-17,89732,31974,naa,-222531.53,hgkj,evy
2054-11-26,9965,33868,wykpwy,-320906.85,xznegcu,efmkz
1959-10-17,59794,68932,ukcs,199027.81,rdkuq,lntfc
2080-10-23,48612,14258,sujced,-187349.95,obirmem,fwmlj
2053-11-28,48681,60226,bti,-284454.71,dxkjwsj,vouphxou
2005-11-23,30358,65498,meq,97763.24,pmwfk,apdgub
2083-11-25,83286,59945,tjqkz,-282668.04,bgic,gpl
1954-10-29,16136,61192,sttas,211068.44,xuihqor,dcyuum
1945-10-30,43193,47365,njiknw,-87206.88,gphrqch,kjnbbz
2098-11-18,37760,23851,gyiynmgt,-87225.59,cdxdo,hul
1947-11-28,3946,85646,onva,131770.26,ubjqmtc,fvbm
2008-11-23,5481,84153,rpxbesr,-57285.08,zmsybz,ximqi
1920-11-30,92150,40540,rroety,148225.92,vrycx,lvinvs
1976-10-25,85117,16903,jmrkxve,-80864.26,yvfpbl,fjbxvwg
1965-11-25,65909,24476,lycu,-184467.49,latj,aliuvsxr
2031-11-26,18056,41023,lfhpws,48536.83,pwwveu,wkyocat
2043-11-11,39987,36845,dcl,205670.64,ilafl,nnps
1929-10-12,50164,58116,iwiwo,73749.32,ojd,edeg
1988-10-21,75899,3314,syd,126950.42,rvdorock,xaxhy
2011-11-13,87819,64361,xantkh,317773.72,mjli,gbiw
2028-11-15,85547,58566,uhyrjorm,-154391.17,eirvwhl,ulsnxzr
2012-11-10,23411,29206,iiz,-223356.39,hpmzlb,bjwih
2081-10-18,32052,39892,hhe,-89668.10,ikbtdeai,onckpk
1982-10-30,66671,39721,ssw,-151413.30,hloz,ovwt
1994-10-17,47448,83438,iiwlxuqa,-134415.70,rtomojlf,vwiqiqz
1988-10-28,21678,69265,jfpxrvi,158060.52,cxjdk,zxx
2084-11-15,77889,2750,ekcwcbl,318099.59,yiaj,wrudkyyv
1985-11-29,70487,72591,xmfoo,139652.13,mipfhv,abyi
2033-10-20,22125,64732,ivrnqp,342134.87,sazyrvnb,kyp
1979-11-23,54552,93242,phgix,-99960.20,jkgjsy,jvmk
2022-10-27,62953,46557,smvn,9932.84,kxwv,szeipy
2003-11-13,4355,8225,fawouj,291422.39,jzizue,qjpw
1972-11-24,98938,39016,jtsut,-344048.33,sdezkxp,iwvfhsfj
1913-11-17,4816,93762,qqrvdxjd,196466.21,mhzazvl,vhcdjgf
2056-11-13,75181,15607,qkny,-316898.97,apm,ccynme
2038-11-20,82409,6519,lup,-169396.39,zmdoavnn,wbqx
1921-11-30,67920,43311,leila,-234695.26,vodryf,ensrluz
2017-11-18,24629,12151,swzcpliz,-234944.91,okp,zrxxz
2000-10-11,51568,70505,wdphv,-114166.84,sbca,sqln
1948-10-14,65669,77301,xklpfjj,173451.97,lznygbzm,irepgm
2067-11-18,30272,55153,wdipz,343197.80,pnnjn,jow
1979-11-24,14386,16673,qzqcf,-97344.31,dbdxm,zygmw
1918-10-27,40803,8054,wtfup,-157878.59,spi,vjlxjixd
2032-10-20,26180,31129,knkt,68598.14,iecitgxq,nuubwe
2091-10-21,41453,41822,wbil,-79475.79,manrht,nzqa
1922-10-29,57151,27296,ioeex,-68607.86,yej,xnou
2081-11-11,51334,86919,kvjsy,161136.66,wtxofq,qajrsf
1965-10-23,47670,97207,ejvfpbe,244285.79,rqbc,aqjvxbza
1930-11-10,32974,85617,fkynn,-304329.65,ozx,zcitdcit
1997-10-23,86825,31764,kjqwrz,187791.00,ycb,vfat
1989-10-14,51756,69688,mlg,-101980.16,locaqvc,tmpblk
2024-11-15,43411,7200,zkozyfjp,-338997.64,fckj,hujrcrt
1951-11-24,7637,88244,slmfq,-236066.85,oox,qlbkflp
2009-10-23,94287,25266,ssxpdqyb,45102.38,jnlmmj,wqgiis
2067-10-11,62250,55294,cllf,-143458.65,vlakg,wojbognw
2005-11-22,52187,63075,qpfrxzx,241636.96,cewgwn,nif
1908-11-25,52755,46517,zhas,310957.10,bxsz,immtt
2044-11-12,93568,61443,pbxk,-263039.53,cpo,inhpzeup
2063-11-28,42733,23346,ftw,-74293.00,hpdrtax,ivkerbqz
1961-11-16,73806,15682,nkcmex,109127.35,axf,qad
1916-10-24,82356,5801,rsx,67233.47,mtbo,ysy
1907-11-16,30522,57186,ihhbmd,20951.43,lgcwcyov,ypkgjlbx
1975-10-23,48073,66225,trqoq,332873.04,qyfxs,jlnnxy
2040-10-22,35899,59436,lhqkorks,-51412.14,bvi,fncvk
2003-11-27,84463,91792,xxk,135198.56,dyk,jxebp
1950-10-23,75185,65876,oiyrhn,48030.65,hxabs,kes
1996-11-12,62804,63261,vqmy,-160117.87,tcw,miwvevr
2019-10-12,41321,24228,zrz,-204897.96,gzpuntl,wvqdmbt
2028-10-16,86191,17971,rsdrwcx,293553.11,drmqzguf,gla
1973-11-28,50798,57374,kvv,211350.30,epu,mrw
2077-11-28,91555,73691,kjceitnp,177629.98,ufcsu,ijqclt
1980-11-10,64768,51483,mnrasto,330472.32,ikaygx,pdsu
1965-10-16,86417,3722,htacgry,-160963.42,nud,ngf
2081-11-28,27237,65757,amx,-121246.16,emakx,glgr
2083-11-20,3937,50015,icdyy,-193313.27,mhegy,xlcgvfzr
2062-11-24,47191,64979,ejtbjrz,-232124.16,nalhyqd,obiyhc
1966-11-18,51655,81375,wml,-18345.62,myztc,skaawpp
1958-11-27,32038,18252,rmdekphr,263668.09,gxmg,tswn
1925-11-30,87972,26020,itlhkto,287329.95,yju,jfk
1922-11-11,26928,20810,hfaiam,323561.88,kpjt,hdhwxer
2043-11-27,70147,44750,ttfndnw,124651.84,iqzfasss,llmrt
1935-10-13,14020,34920,sgy,-251494.84,beiav,bvre
1980-10-10,18378,2385,gwxkxa,-255176.52,efk,lntwr
2032-11-29,27716,471,juw,-35039.35,qxmvvhs,edpbodz
2075-10-18,94646,59501,kngedye,340758.75,kuqob,zkkvrtpr
2060-11-15,10092,99257,jrfwba,-138626.75,pgxoyl,tabr
1995-10-20,3395,39395,ipyv,-103383.67,tnkclheh,jta
2007-10-22,32955,14264,omknny,-57060.70,tchaj,xophlftr
1928-10-24,5085,37938,pyqdr,-219423.02,xjv,wvgaqgub
1964-10-23,79737,92596,dahfppz,-121295.69,fkcm,hftr
2061-11-19,27229,47679,hcycp,-224163.19,jqx,itqvtyr
1942-11-17,93633,18342,sjlvdfy,278435.60,ojbwr,nzjmow
2059-11-30,42904,76742,lolv,200465.93,uhjy,guyhsm
2043-10-22,77753,19272,zqmw,-155345.73,ukcwpf,tjwisowc
2097-10-19,75144,5580,orvyl,97348.90,jbcj,dlpuk
1967-10-25,56157,84699,dakak,-242764.12,nyrrh,qcqggkby
2035-10-11,2354,92397,fcndnfoo,-247116.93,qbrkgf,rlmdtv
1914-10-27,66664,32698,trpindw,-234293.25,wgiy,qwzpp
1917-11-21,69999,42180,xkjbrl,236240.52,uybhkim,twhgtms
2039-10-26,29591,23891,lwzwux,-339314.35,wmqxo,uujmnip
2049-10-29,32231,7837,ptisom,-113061.32,snpzu,zwhpiyy
2010-11-30,85646,45688,laaccsvd,116701.79,rkqr,oidgsgc
1930-10-20,9787,67416,jrs,160905.07,pehzgsk,swcwyxm
1985-11-29,67551,34627,hwciupxl,74369.19,wmw,joo
1915-10-17,75035,91181,koivdu,-242782.25,upezkjj,jusxb
1920-11-30,79351,84281,xda,-263363.36,hzenvkfm,npode
1962-10-16,88479,3085,netues,-21099.88,nwtfafen,mqvj
2096-11-16,83267,11711,jkq,-199434.77,wrxzmc,rmzdf
2061-11-11,7800,99001,ygvpex,-77401.54,zfpnvi,ycgrona
2090-11-18,46838,98770,tgdljo,-41360.07,zvchlm,vebguhd
2097-10-28,59746,95902,ehvauek,-162511.59,vom,pix
1980-10-23,96688,86595,yha,32506.74,ookkep,gtahrx
2051-11-27,66701,52190,qakakloo,115699.94,air,njinvakw
1967-11-26,71817,65807,xaizml,275035.07,kcshnabp,lwf
2023-11-25,83033,3843,mwua,9658.07,xnz,semixrj
1963-11-29,58752,69320,hpwm,-279777.79,gxrfetey,vfo
1932-11-17,39482,55422,vfv,247129.53,qhi,wjgk
1959-10-12,4867,54520,xnhhnpzg,236749.45,zao,addnwkzj
1996-10-14,8812,82017,bnlvcob,-318550.63,bzw,jlcqkupz
2094-10-24,64521,43209,towgdjl,99026.02,bkwqts,kjfgft
2007-11-26,83519,97899,fkoakotv,-121090.62,gehssbx,evd
2041-11-11,86024,85471,bipjlfk,-1791.28,cuzhq,wuii
2055-11-29,84223,59560,gbf,29145.12,zjg,nvhic
1936-10-29,19223,3598,wrbxci,-344254.43,bzeass,xvdeqss
2077-10-27,84806,16228,hhusdjd,-151536.20,wblb,otno
1940-11-10,12628,69111,raiomt,-142309.34,wfu,qsrrtljl
2072-10-20,82291,91490,jrhk,-123851.50,tmeolb,cbdn
1950-11-28,48817,9190,dpqzcqo,94177.48,bawi,vvlqiblq
1968-10-14,31715,29792,tgs,-78298.85,pdrwpl,zjxx
2046-10-16,27301,36236,ywhf,226439.04,louxwk,bao
2079-11-19,43031,313,avxsfk,19114.65,wsoyep,anpxbq
1912-10-23,98046,67181,kfpzblff,-102272.04,necl,pbbgm
2056-10-23,48199,39539,plogsq,23202.35,srlzm,tksjr
1934-10-18,29740,1952,wwylp,-89228.75,kspszs,hqinayr
1928-11-16,55156,83819,upz,-54204.43,cttujw,yuyxtmfv
1912-11-13,41853,52308,xrrj,275343.66,gzsga,zpgnzt
2097-10-22,99580,58524,fdseu,-161522.05,czicna,dxcox
2079-11-14,63044,51936,ftwsudp,62754.53,irlius,kgi
2056-10-24,71403,96024,arl,123364.98,uksgjco,bxffax
1950-10-12,26256,45839,rdws,-108063.23,zjgpy,asnwwxe
1989-11-22,89759,86836,fzeainji,205891.50,gaakxa,muae
1956-10-22,36975,58815,gkokncg,76079.80,mxypbcs,ppg
1975-10-22,85469,24258,bnjhtf,65812.90,fthcpwv,peifkh
2054-11-20,30010,41623,zbktpx,-168755.01,xopkwi,nhrrzfog
1950-11-24,12867,2197,mipy,-55553.73,mzbbay,ndwimx
2022-10-19,76863,97104,bryv,-114517.41,tytqxsn,wjkxxk
2036-11-22,85692,95577,cujmrz,-297414.76,cexmbwd,ljvf
2072-10-17,46395,77737,rkingb,-99407.51,ljiet,rdo
1930-11-18,70618,6398,atikper,-186320.76,kicktx,qxiale
2056-10-16,13031,80537,hbxhsygo,279190.45,lorpkuvw,lsggiap
2093-11-17,19038,21033,ikpuvzj,-157360.69,iisaer,lfuzlje
2020-11-21,39019,92834,jvcm,267687.53,ilijlu,vtqsd
2075-10-16,5820,25241,osnhbe,-253281.02,bfbc,cjmcrhoi
2048-10-25,2287,1847,fwba,48118.74,jpwx,vikb
1934-10-26,40112,99464,tpe,133776.37,fcsfkome,qieu
1958-11-29,41376,2320,adeojvqk,-65781.83,nupwh,hcxp
2018-10-22,14817,40001,arlf,-334088.21,qygpspj,yao
2027-10-29,25114,74953,xwcaeezk,132143.55,uigczj,jhijbhij
1935-10-25,27754,48365,wypmlci,2158.18,vnvxjsky,lvq
2019-10-14,20536,51268,zcludc,-249028.17,wsgbh,keuab
2032-10-29,40585,92056,hhdekfc,-282566.93,nwpij,hckaoidi
2065-10-25,18113,35819,ntbaystc,320914.96,aiw,rgclrt
2067-10-13,80865,64973,rtsohdl,-108422.61,vmuh,tpodc
1908-10-20,6872,91888,mzrarpqy,-304010.16,wgqxr,yvihl
2094-10-14,56793,15729,cedxix,218949.35,irevi,vuuh
1926-10-15,26983,22722,vljbnq,-313246.35,nnti,zoxkkp
2098-10-10,70434,56748,rrqxlg,-292226.85,gxsjttpi,omsu
2026-11-24,3421,39625,evelmioc,-200717.79,fjz,earmw
1979-11-19,86806,38966,ilzhmw,-191162.88,ehuhuof,jeigl
2073-10-13,10628,19757,kjcnjorh,41011.41,hvsrgw,gsmj
2050-10-18,68440,31132,sgoswpk,9873.45,przom,wzjupdcd
2030-10-28,91557,79510,jzvoy,-311164.25,xpgjon,ekxroags
1943-10-14,88025,45244,nsvgsw,-139435.11,mtfhper,kyvk
2039-10-22,62089,60398,ltfccso,-212712.73,orz,bjgp
2087-10-27,68780,90136,ixjyo,-112238.41,hodc,ubead
1907-11-19,72976,36271,jxmuq,-40980.56,fbkzs,chzqfdvu
1934-10-26,19722,87544,ngzfusa,40295.21,ushdesx,rxnzll
1928-11-28,8914,86040,cada,309774.98,oxng,hjnvziqa
2078-11-27,98368,90420,oziigp,-330462.94,ldwails,xujklcme
1938-10-19,93270,88627,vvmenk,299671.74,rlbsg,qofjpzcb
1929-10-29,44893,54469,tlvq,71214.23,progpuem,pqn
2030-11-30,14706,92767,kmr,-133929.86,paxriv,ixzuo
2056-10-30,56804,67998,ttqeiibd,174996.92,nxagssaw,isgzf
2038-10-11,96493,66939,bkf,140198.57,uftg,joqbczay
2071-10-25,81085,91035,qoh,274989.16,mmb,nnkxxzs
1946-10-21,46929,73062,lpqhgsz,-11498.14,vsdjrni,awlcysru
1984-10-25,23709,99862,gdhorqy,127288.15,spnsvw,xshrf
2059-11-13,39547,53800,luisdd,8630.79,mwznh,fanaz
2003-11-16,18435,73386,btccnu,47299.92,qyeyxpz,doch
2089-11-23,36324,59017,abuna,-318085.96,kwiy,vhrczv
2025-11-15,46449,62100,nbrxufw,152429.56,hxffnk,ujse
1962-10-11,7505,43382,fdqdyh,98032.74,kezavny,lhal
1990-11-21,17952,6091,clzp,300333.84,sxeuc,dkfukd
2090-10-13,70994,98886,pizhbg,290267.66,bhhdoocb,grs
1944-10-17,20168,84009,intv,127685.50,uas,rxz
2091-11-20,59462,92227,vrwday,159711.99,jtfk,uco
1956-11-13,62323,26635,icyxzyv,-156400.30,nmifhgyu,iogjbkrm
2017-11-14,44119,27740,zrkeu,-282502.88,zawej,qff
1990-10-22,13388,60531,fcilrg,-273411.10,fjvagty,azsazb
2071-10-13,25562,89304,jfox,-169300.59,uhpjjlr,dvsqlsho
2036-11-27,4732,44609,jkbmpcp,330230.58,nxyquaq,rybnjz
1911-10-22,34010,62352,orlfq,147820.28,tidpe,qom
1996-11-22,88120,7889,qic,74164.18,xtzdhuq,ctpb
1907-10-24,40067,9382,gsdih,285062.03,zbj,bbye
2027-11-28,17810,11002,kkpnj,-19127.22,nznmcrrt,avcurleo
1965-11-20,60696,22015,vbgpo,101972.02,nvzlgbg,pqhvp
1957-11-20,73646,87636,ekvx,105123.10,vcm,qeiqq
2082-10-18,7724,41755,fmy,199102.10,ntbdax,vgli
1976-11-17,3806,66834,yytdrzyf,-249550.46,lvriavng,rseyyav
2019-11-25,31757,3226,kwz,79473.73,eclt,gqcq
1901-10-26,25934,3609,ibmtfzv,304960.46,eybgyi,ghud
2055-11-12,32463,22998,gyy,158006.24,vdjfeef,oikfx
2007-11-10,7040,97923,pzywhzph,5536.36,laqd,bamwsyee
2082-10-22,80630,46393,yafzdemr,-101296.21,bpvhrdw,mzlc
1998-11-25,18522,61835,dbv,-15337.00,xepfwrd,igcaqjie
1950-11-15,50087,49216,qmz,195805.44,quwadzsd,vgvec
1955-11-13,48791,9085,iljvnyj,8618.80,fqidx,vgf
1954-10-28,41120,5102,zzqg,182527.26,qwrm,veafxs
1988-11-20,53433,44679,uuorw,138247.19,lvipubnh,erjc
2059-11-19,7379,5039,jyssvovk,166446.51,xdq,kdspoex
1967-10-19,99268,39847,tziqz,-242588.70,xmrhixev,vkhabfwx
1961-11-14,48854,10857,eoj,-325611.03,qcdgyiwf,wnaglmqh
1991-10-15,84897,31034,vmmvn,76176.03,cbk,dkwesol
1986-10-20,66826,473,cqimsbct,-310540.98,oilsx,tcnbn
1902-10-29,36629,50822,ukdlgm,122539.56,jgx,jxavqx
1980-11-20,18346,8825,wdvsam,-74231.16,vmftrnq,onjgzw
2048-10-13,72950,73576,pnkdqlq,176908.63,gadvhrq,ccny
2000-10-29,81837,99983,raffzjbm,130803.66,hailgbw,lvxdnoo
2093-10-26,44086,12524,upz,255898.20,idjnovwc,ztkojw
1909-11-13,86238,16586,prdro,108163.69,lkgtcyhg,borjdu
1949-11-21,29556,32925,lwhwp,282791.36,xyzzaky,hflpwvp
1946-11-13,43756,58390,vzaosqok,-268003.28,fdcghls,ypdkrop
1914-11-21,85924,86927,sbfqhxr,202495.62,tpfs,bkkql
2071-10-15,59736,75,pdnxjyxp,293498.12,wvlmddv,mwp
2019-10-22,29045,40160,xabd,-18105.64,wjktv,frktnob
1916-10-22,70411,96251,vavsypn,212770.27,fizhq,tsxkxwhu
2051-11-22,54139,62676,oeosf,-36606.36,rmfpcpz,nordxj
1902-10-14,88346,44480,pdlmevi,87785.47,xykwpb,gjho
2048-11-21,98797,53457,ucdgyw,260168.15,wzch,vtck
2010-10-17,48662,54113,ktkv,279908.92,uyvd,nbvcfrp
2048-10-24,99178,63702,wbja,327013.95,ngeixcx,iwo
1954-10-26,69755,80406,fmqis,-47322.13,xel,nqzlw
2020-11-28,78253,37463,csdmk,-17121.01,qibjnpe,ojxntid
2080-10-11,77126,45401,apqgni,68109.98,ryafpcw,gito
1956-11-22,48345,78781,fmr,211112.19,tbk,uhxc
1978-10-30,81668,14717,kuutpc,336570.15,ueskuefc,hmeaby
1958-10-11,98335,3055,fdngxkqt,130390.82,mdtof,dnj
2064-10-19,52965,10938,uamhgwj,144567.67,qejzg,tucfqfu
1977-11-19,81629,26586,rtrevbc,216452.05,qmlhygyo,mky
2008-11-29,73799,19686,pytyiyw,109158.10,mmukbyqx,fgul
2065-11-16,99093,41800,ckkobjx,-242674.93,tkmwj,vmh
2092-11-29,63485,83298,bnbisimw,-153448.87,oepfj,fojzzeck
2069-11-30,59494,29531,noikh,-261306.66,ftzak,kupfzmr
2082-11-21,98107,29763,ecphmf,-136507.27,ethy,nstw
2072-11-21,10333,70474,arfqyt,-296241.98,pibuzjcc,spxtzil
2064-11-26,95332,27619,wmrktva,178946.76,inj,dnxthi
1939-11-26,4945,55617,jwpd,155326.21,afvu,smdcki
2076-11-27,53820,96692,oclc,323592.63,cikm,vtbiogc
1922-11-18,5889,37820,thfas,149574.35,qlebgml,hlpams
2005-11-26,96759,32633,kcf,-162884.46,aamntom,kwqk
2025-11-25,27068,3994,lpm,86732.26,xqd,tpzoadme
2071-11-26,51524,2174,kitkb,-75896.16,liyesr,sonhkrch
2020-11-19,29442,21582,xonvs,136086.56,nsiwdbl,ndnpn
2044-10-27,39846,84263,bzgg,148318.16,tjzhcwu,ysd
2055-10-18,52943,85371,clqawny,264075.93,owodbfm,wruszfhb
2055-11-17,76325,26249,emshp,-277756.92,uxsh,eubimg
1986-10-17,12284,36516,ndty,128725.78,twborf,msgk
1994-11-28,30541,17753,oqqg,150674.34,sctcb,ovfqc
1934-11-29,98062,49599,arwnhxa,-15960.32,ekq,idiprg
1991-11-27,34833,22956,gopbdbfx,-317490.10,cxkytt,avuuq
1970-10-26,81576,50269,thkja,-250353.48,dwmwydj,ibtuqwo
1973-11-25,52138,61104,ceb,-86432.30,twmqkxg,rvep
1908-11-16,99310,793,luurj,-220294.61,fsonjl,duyp
2051-10-23,89604,27229,voupsw,-106524.67,qeygzg,boul
2096-11-30,99071,58363,riki,-116571.53,wjql,rucyoql
1992-11-30,52238,33415,gjvssui,37701.54,wba,ldqx
2064-10-30,93847,93006,fvxs,-300143.69,eppe,tpr
1938-11-21,67844,81862,bnduvt,115145.11,revivvx,kool
1904-11-10,80143,77600,yobzta,-41637.49,mknlntf,mzw
1925-11-12,5464,64112,ownwopwu,15481.91,kmstphuv,suglvc
2000-10-22,31379,15003,vdcbpqg,-123506.50,tsez,dtrudf
1926-11-12,54517,83971,ghaq,134604.28,sxrdp,apagfmjm
1975-11-14,96647,41389,rrbsno,-47242.17,ammuriih,svzazkaq
2059-10-19,83620,76517,crtzdy,-47094.58,jvvjc,schn
1938-10-12,11197,47339,saadt,147046.78,odd,wbrz
1996-11-29,99883,70259,yqvmqtol,211.40,yehwu,pse
2058-11-13,43326,49517,nvdqklrd,-322890.22,asectmv,ooos
2091-10-19,59050,37655,wgaabshn,130084.52,bkrc,wmlof
2052-10-15,55301,44859,urwzibn,-119151.20,anqk,cenzdjuc
1945-10-26,52895,95594,iom,-167247.86,ibqmo,mmitzba
1919-10-11,84607,72240,uak,71103.32,rnuq,pnsugnsx
1987-11-23,35609,65336,alfc,-81064.08,isasp,htrfrhxk
2090-10-25,72916,99862,vyijbfoo,290735.11,wxwkwvx,fgzrsjh
1996-10-15,49230,55557,egyr,-140880.63,ujmqwmk,jaydd
2012-11-12,41842,27461,uswpea,147837.38,xqzr,ytgpjdmy
1950-11-20,96823,86605,snxxnert,47261.97,ztuxg,hgnytmo
1951-11-21,23363,6814,ocgo,-208972.28,woa,evorwmj
1906-10-21,50205,13200,ovbdk,67460.43,bekwjr,dtdv
1978-11-27,36361,51644,kldznal,-278830.95,vybvb,ocasbztk
2043-11-20,70731,76208,vnvdzv,-97803.45,xajtmjn,cvjql
2097-11-14,67886,18864,yypdhd,-189829.83,zwf,uzwx
1950-10-25,59214,71424,gkbmr,-59451.96,xxgn,zjpmxex
2034-11-16,82107,7411,xvfeh,-47150.00,nfk,amcfomk
1901-10-20,17939,43001,rrup,-313589.24,yqfpcl,knjvd
